neighbourhood,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
30.0,-73.92855,1.0,7.0,0.0,1.0,67.0
22.0,-73.95703,0.0,3.0,3.0,1.0,0.0
12.0,-73.9554,1.0,2.0,4.0,1.0,0.0
23.0,-73.99084,0.0,14.0,0.0,1.0,0.0
19.0,-73.98401,0.0,3.0,0.0,1.0,0.0
11.0,-74.00604,0.0,3.0,16.0,1.0,0.0
6.0,-73.94875,0.0,2.0,27.0,1.0,339.0
49.0,-73.91265,1.0,3.0,38.0,1.0,243.0
114.0,-73.91519,1.0,4.0,9.0,3.0,124.0
28.0,-73.94803,0.0,5.0,7.0,1.0,341.0
20.0,-73.95873,1.0,3.0,3.0,1.0,42.0
26.0,-73.97884,1.0,30.0,0.0,232.0,312.0
100.0,-73.91729,0.0,1.0,5.0,2.0,0.0
21.0,-73.90639,0.0,1.0,26.0,3.0,0.0
24.0,-73.95627,0.0,31.0,3.0,2.0,242.0
54.0,-73.93335,1.0,1.0,127.0,1.0,7.0
124.0,-73.83192,0.0,1.0,5.0,3.0,365.0
2.0,-73.95436,0.0,7.0,15.0,1.0,213.0
56.0,-73.91633,0.0,4.0,28.0,1.0,0.0
6.0,-73.93249,0.0,4.0,0.0,1.0,0.0
68.0,-73.98337,1.0,3.0,3.0,1.0,0.0
2.0,-73.95134,0.0,15.0,19.0,3.0,106.0
49.0,-73.91248,1.0,5.0,2.0,1.0,0.0
12.0,-73.9559,1.0,3.0,12.0,1.0,0.0
19.0,-73.98916,0.0,1.0,0.0,2.0,0.0
3.0,-73.96245,1.0,3.0,0.0,1.0,0.0
1.0,-73.97067,1.0,2.0,4.0,1.0,129.0
71.0,-73.98191,0.0,1.0,0.0,7.0,230.0
28.0,-73.96688,1.0,1.0,0.0,1.0,15.0
2.0,-73.95347,1.0,1.0,0.0,1.0,32.0
98.0,-73.92037,1.0,3.0,19.0,1.0,228.0
183.0,-73.73399,1.0,1.0,30.0,1.0,282.0
21.0,-73.92849,0.0,7.0,1.0,1.0,173.0
19.0,-73.98006,0.0,14.0,0.0,1.0,0.0
23.0,-73.99028,1.0,1.0,2.0,1.0,0.0
31.0,-73.89723,0.0,5.0,9.0,2.0,0.0
21.0,-73.9068,0.0,4.0,5.0,4.0,98.0
19.0,-73.98893,1.0,30.0,5.0,1.0,301.0
19.0,-73.97952,1.0,5.0,3.0,1.0,0.0
99.0,-73.90933,0.0,2.0,47.0,4.0,249.0
6.0,-73.92491,0.0,1.0,0.0,1.0,179.0
54.0,-73.946,1.0,2.0,19.0,4.0,328.0
8.0,-73.97736,1.0,2.0,9.0,1.0,286.0
20.0,-73.94937,0.0,1.0,0.0,1.0,0.0
5.0,-73.97201,1.0,6.0,2.0,1.0,341.0
13.0,-73.96993,1.0,4.0,45.0,1.0,190.0
35.0,-73.9198,1.0,2.0,64.0,1.0,194.0
84.0,-73.88285,0.0,2.0,5.0,3.0,365.0
6.0,-73.93073,1.0,5.0,47.0,2.0,91.0
12.0,-73.94057,0.0,3.0,2.0,1.0,36.0
25.0,-73.93234,1.0,15.0,1.0,1.0,0.0
8.0,-73.9729,1.0,5.0,3.0,1.0,9.0
68.0,-73.98308,1.0,3.0,52.0,1.0,3.0
1.0,-73.96327,0.0,3.0,98.0,1.0,278.0
6.0,-73.94321,1.0,1.0,3.0,1.0,0.0
8.0,-73.96951,1.0,2.0,0.0,1.0,5.0
21.0,-73.91231,0.0,7.0,4.0,1.0,95.0
144.0,-73.89883,0.0,1.0,0.0,1.0,363.0
23.0,-73.98437,0.0,2.0,6.0,4.0,0.0
2.0,-73.94804,0.0,1.0,52.0,4.0,355.0
3.0,-73.96026,0.0,1.0,15.0,1.0,179.0
17.0,-73.98386,0.0,2.0,26.0,1.0,74.0
77.0,-74.01001,1.0,4.0,3.0,1.0,0.0
25.0,-73.95765,1.0,30.0,1.0,1.0,0.0
8.0,-73.97739,0.0,14.0,88.0,1.0,176.0
1.0,-73.96388,1.0,2.0,4.0,1.0,0.0
19.0,-73.98594,1.0,3.0,0.0,1.0,0.0
63.0,-73.8347,0.0,1.0,34.0,1.0,93.0
18.0,-73.92689,1.0,1.0,17.0,1.0,64.0
28.0,-73.96098,1.0,1.0,25.0,11.0,330.0
20.0,-73.95285,0.0,1.0,2.0,1.0,0.0
150.0,-73.90648,1.0,2.0,41.0,2.0,342.0
37.0,-73.83284,0.0,1.0,14.0,6.0,121.0
75.0,-74.0319,1.0,1.0,1.0,1.0,0.0
21.0,-73.92443,0.0,5.0,0.0,3.0,0.0
4.0,-73.94233,0.0,1.0,186.0,4.0,199.0
12.0,-73.96178,0.0,5.0,0.0,1.0,0.0
117.0,-73.95366,0.0,1.0,10.0,1.0,0.0
19.0,-73.98088,0.0,1.0,0.0,1.0,0.0
45.0,-73.96019,1.0,4.0,4.0,1.0,0.0
19.0,-73.98066,0.0,1.0,3.0,1.0,365.0
2.0,-73.94228,1.0,1.0,2.0,3.0,0.0
12.0,-73.95956,1.0,3.0,32.0,2.0,141.0
5.0,-73.97018,1.0,3.0,0.0,1.0,0.0
29.0,-73.96941,1.0,4.0,2.0,1.0,0.0
49.0,-73.9117,0.0,2.0,80.0,1.0,350.0
6.0,-73.93567,1.0,30.0,0.0,2.0,45.0
12.0,-73.95341,1.0,2.0,17.0,1.0,3.0
19.0,-73.98379,1.0,30.0,0.0,232.0,330.0
15.0,-73.93273,0.0,2.0,53.0,1.0,8.0
22.0,-73.95288,0.0,3.0,0.0,2.0,311.0
25.0,-73.93108,1.0,2.0,1.0,1.0,266.0
2.0,-73.94937,0.0,1.0,33.0,1.0,19.0
54.0,-73.92913,2.0,1.0,23.0,2.0,364.0
6.0,-73.93325,1.0,2.0,4.0,1.0,0.0
21.0,-73.91492,0.0,2.0,19.0,1.0,198.0
117.0,-73.95517,0.0,1.0,0.0,3.0,330.0
8.0,-73.96034,1.0,3.0,18.0,1.0,0.0
47.0,-73.87463,1.0,1.0,4.0,1.0,0.0
13.0,-73.97279,1.0,3.0,1.0,1.0,125.0
6.0,-73.95702,0.0,7.0,6.0,1.0,0.0
64.0,-73.99498,0.0,2.0,123.0,3.0,59.0
12.0,-73.94185,1.0,3.0,0.0,1.0,0.0
12.0,-73.95244,0.0,1.0,2.0,1.0,249.0
59.0,-73.90204,0.0,1.0,0.0,1.0,83.0
6.0,-73.93142,1.0,4.0,34.0,2.0,340.0
11.0,-74.00606,1.0,2.0,11.0,1.0,0.0
95.0,-73.83752,1.0,1.0,22.0,1.0,130.0
6.0,-73.9172,0.0,1.0,22.0,2.0,236.0
2.0,-73.94848,1.0,3.0,38.0,3.0,302.0
7.0,-73.99597,1.0,3.0,4.0,1.0,108.0
30.0,-73.93108,0.0,2.0,9.0,1.0,0.0
21.0,-73.92496,0.0,1.0,4.0,1.0,71.0
79.0,-74.01153,0.0,3.0,5.0,1.0,281.0
15.0,-73.92172,0.0,1.0,6.0,2.0,323.0
11.0,-74.00313,1.0,30.0,0.0,65.0,326.0
3.0,-73.96439,0.0,1.0,3.0,1.0,0.0
63.0,-73.83928,0.0,2.0,35.0,5.0,235.0
16.0,-73.97833,0.0,14.0,1.0,2.0,0.0
7.0,-73.99331,0.0,2.0,30.0,3.0,3.0
101.0,-74.01798,1.0,1.0,0.0,1.0,43.0
22.0,-73.96478,1.0,5.0,4.0,1.0,0.0
7.0,-73.99762,1.0,30.0,2.0,121.0,365.0
73.0,-73.95564,0.0,1.0,4.0,1.0,341.0
111.0,-74.00552,0.0,1.0,1.0,7.0,350.0
31.0,-73.89163,0.0,1.0,57.0,2.0,295.0
4.0,-73.94893,0.0,1.0,5.0,1.0,0.0
12.0,-73.94307,1.0,1.0,15.0,1.0,16.0
62.0,-73.81867,1.0,1.0,144.0,2.0,134.0
28.0,-73.96283,2.0,3.0,48.0,1.0,0.0
3.0,-73.96736,0.0,3.0,4.0,1.0,0.0
22.0,-73.96066,1.0,3.0,4.0,1.0,69.0
70.0,-73.89873,1.0,4.0,121.0,2.0,33.0
30.0,-73.93087,0.0,2.0,6.0,1.0,29.0
6.0,-73.94822,0.0,5.0,42.0,3.0,63.0
6.0,-73.9262,1.0,2.0,5.0,2.0,0.0
21.0,-73.93369,1.0,3.0,0.0,2.0,0.0
64.0,-73.99487,1.0,3.0,17.0,1.0,0.0
26.0,-73.9796,1.0,4.0,0.0,1.0,78.0
9.0,-73.9958,0.0,1.0,71.0,3.0,91.0
7.0,-73.99539,0.0,30.0,8.0,47.0,351.0
12.0,-73.96114,1.0,30.0,25.0,3.0,342.0
1.0,-73.97092,1.0,12.0,4.0,1.0,118.0
12.0,-73.95981,1.0,2.0,51.0,1.0,147.0
2.0,-73.94736,0.0,4.0,153.0,2.0,125.0
26.0,-73.98233,1.0,2.0,18.0,1.0,0.0
10.0,-73.98568,1.0,70.0,3.0,1.0,0.0
27.0,-74.00307,1.0,3.0,73.0,1.0,44.0
21.0,-73.91689,1.0,30.0,1.0,1.0,6.0
12.0,-73.94357,1.0,6.0,5.0,1.0,40.0
13.0,-73.97456,0.0,1.0,24.0,2.0,72.0
11.0,-74.00378,1.0,1.0,0.0,1.0,0.0
6.0,-73.93656,1.0,5.0,82.0,1.0,0.0
28.0,-73.94977,0.0,1.0,160.0,1.0,319.0
21.0,-73.91836,0.0,3.0,22.0,2.0,0.0
2.0,-73.94286,1.0,3.0,30.0,1.0,159.0
24.0,-73.95808,0.0,2.0,0.0,1.0,0.0
9.0,-73.99995,0.0,2.0,35.0,1.0,6.0
8.0,-73.96592,2.0,1.0,1.0,2.0,363.0
17.0,-73.98397,0.0,2.0,21.0,1.0,272.0
30.0,-73.94063,0.0,30.0,3.0,34.0,311.0
54.0,-73.92756,2.0,7.0,1.0,1.0,179.0
7.0,-73.99431,1.0,3.0,1.0,1.0,5.0
0.0,-73.9756,1.0,1.0,10.0,1.0,0.0
21.0,-73.92417,0.0,14.0,0.0,1.0,31.0
21.0,-73.93729,1.0,2.0,46.0,1.0,19.0
72.0,-73.92183,0.0,5.0,46.0,1.0,174.0
90.0,-74.02786,0.0,1.0,0.0,2.0,179.0
45.0,-73.95639,0.0,9.0,7.0,1.0,0.0
14.0,-73.99487,0.0,3.0,164.0,1.0,27.0
8.0,-73.9624,0.0,1.0,280.0,1.0,246.0
30.0,-73.93764,0.0,2.0,3.0,1.0,0.0
83.0,-73.88284,1.0,2.0,13.0,1.0,288.0
7.0,-73.99364,1.0,30.0,4.0,20.0,272.0
2.0,-73.95762,1.0,1.0,1.0,1.0,0.0
28.0,-73.95236,1.0,2.0,8.0,1.0,0.0
12.0,-73.93761,2.0,1.0,34.0,3.0,75.0
6.0,-73.92695,1.0,31.0,1.0,2.0,155.0
11.0,-74.00333,0.0,3.0,1.0,1.0,52.0
49.0,-73.91689,0.0,3.0,10.0,1.0,88.0
23.0,-73.98699,1.0,35.0,0.0,1.0,0.0
2.0,-73.9421,0.0,1.0,0.0,1.0,0.0
21.0,-73.91445,0.0,1.0,57.0,1.0,48.0
5.0,-73.9784,1.0,30.0,6.0,1.0,135.0
100.0,-73.91488,0.0,1.0,11.0,4.0,347.0
2.0,-73.95256,0.0,2.0,5.0,2.0,0.0
64.0,-73.99497,1.0,5.0,1.0,1.0,0.0
7.0,-73.99823,1.0,30.0,0.0,18.0,146.0
6.0,-73.95296,1.0,2.0,5.0,1.0,0.0
117.0,-73.9575,1.0,2.0,2.0,1.0,0.0
87.0,-73.85799,0.0,2.0,12.0,2.0,19.0
28.0,-73.95819,0.0,1.0,2.0,2.0,0.0
8.0,-73.97252,1.0,3.0,0.0,1.0,0.0
22.0,-73.96687,0.0,2.0,1.0,1.0,0.0
21.0,-73.92266,1.0,30.0,0.0,1.0,0.0
12.0,-73.94353,0.0,1.0,0.0,1.0,0.0
28.0,-73.95193,1.0,31.0,4.0,33.0,299.0
2.0,-73.95796,1.0,2.0,5.0,1.0,0.0
44.0,-73.90374,0.0,1.0,14.0,1.0,272.0
19.0,-73.97767,0.0,7.0,1.0,1.0,0.0
183.0,-73.73283,0.0,1.0,89.0,3.0,356.0
4.0,-73.94247,0.0,2.0,2.0,1.0,0.0
22.0,-73.96348,1.0,3.0,9.0,1.0,0.0
22.0,-73.95572,1.0,2.0,13.0,1.0,160.0
12.0,-73.95018,1.0,10.0,3.0,1.0,0.0
56.0,-73.92332,0.0,1.0,27.0,9.0,363.0
21.0,-73.93258,0.0,2.0,5.0,3.0,4.0
2.0,-73.9498,1.0,2.0,4.0,1.0,0.0
32.0,-73.99311,1.0,2.0,13.0,1.0,0.0
7.0,-73.98982,0.0,1.0,54.0,1.0,341.0
71.0,-73.98497,1.0,1.0,2.0,1.0,301.0
188.0,-73.91696,1.0,7.0,0.0,1.0,254.0
28.0,-73.95403,0.0,1.0,62.0,2.0,258.0
4.0,-73.93875,1.0,2.0,0.0,1.0,3.0
33.0,-73.99247,1.0,3.0,4.0,1.0,5.0
15.0,-73.95859,0.0,1.0,2.0,1.0,0.0
31.0,-73.90037,0.0,2.0,21.0,5.0,125.0
28.0,-73.96031,1.0,3.0,57.0,1.0,93.0
8.0,-73.96598,0.0,1.0,5.0,1.0,0.0
12.0,-73.94242,0.0,3.0,0.0,1.0,0.0
19.0,-73.98336,1.0,3.0,0.0,1.0,0.0
13.0,-73.97316,0.0,2.0,1.0,1.0,0.0
44.0,-73.89632,0.0,14.0,11.0,1.0,332.0
8.0,-73.96106,1.0,3.0,5.0,1.0,320.0
77.0,-74.01054,1.0,2.0,1.0,1.0,363.0
27.0,-74.0021,1.0,1.0,94.0,1.0,187.0
20.0,-73.94768,1.0,30.0,4.0,4.0,301.0
101.0,-74.01775,0.0,1.0,1.0,7.0,339.0
123.0,-74.00991,0.0,2.0,41.0,1.0,3.0
12.0,-73.94584,1.0,2.0,88.0,1.0,223.0
26.0,-73.98275,0.0,2.0,41.0,1.0,242.0
33.0,-73.99531,1.0,1.0,78.0,5.0,365.0
20.0,-73.94582,0.0,5.0,0.0,1.0,0.0
24.0,-73.95875,1.0,3.0,0.0,2.0,0.0
12.0,-73.96303,0.0,2.0,1.0,1.0,0.0
20.0,-73.95835,0.0,14.0,0.0,1.0,0.0
28.0,-73.9541,1.0,2.0,5.0,1.0,0.0
2.0,-73.93905,0.0,1.0,12.0,1.0,0.0
12.0,-73.96128,0.0,2.0,5.0,2.0,365.0
1.0,-73.98156,1.0,30.0,1.0,121.0,351.0
49.0,-73.90799,0.0,2.0,0.0,1.0,35.0
49.0,-73.91693,0.0,1.0,5.0,2.0,0.0
30.0,-73.94351,0.0,3.0,89.0,1.0,66.0
14.0,-74.00265,1.0,4.0,6.0,1.0,0.0
12.0,-73.9616,1.0,1.0,0.0,4.0,177.0
20.0,-73.95341,0.0,3.0,29.0,1.0,15.0
39.0,-73.92153,1.0,2.0,31.0,1.0,169.0
12.0,-73.95922,1.0,3.0,2.0,1.0,0.0
30.0,-73.94476,0.0,13.0,2.0,1.0,0.0
36.0,-73.99181,1.0,3.0,13.0,1.0,0.0
12.0,-73.96156,0.0,1.0,1.0,3.0,0.0
39.0,-73.9194,1.0,21.0,0.0,1.0,0.0
65.0,-73.87359,0.0,1.0,6.0,1.0,0.0
12.0,-73.95073,1.0,3.0,4.0,1.0,0.0
7.0,-73.98757,1.0,2.0,53.0,1.0,0.0
6.0,-73.9365,1.0,3.0,44.0,1.0,64.0
12.0,-73.96526,1.0,3.0,31.0,1.0,0.0
43.0,-74.00721,1.0,2.0,3.0,1.0,158.0
24.0,-73.96161,0.0,4.0,6.0,1.0,6.0
22.0,-73.95969,1.0,3.0,12.0,1.0,0.0
64.0,-73.99333,0.0,1.0,1.0,8.0,0.0
6.0,-73.95249,1.0,3.0,6.0,1.0,1.0
2.0,-73.95615,1.0,2.0,6.0,1.0,0.0
19.0,-73.98929,1.0,10.0,5.0,1.0,0.0
52.0,-74.00128,1.0,3.0,1.0,1.0,7.0
27.0,-73.9998,1.0,2.0,0.0,1.0,2.0
46.0,-73.76711,0.0,1.0,0.0,2.0,179.0
24.0,-73.962,1.0,2.0,2.0,1.0,0.0
1.0,-73.9689,1.0,3.0,1.0,1.0,5.0
2.0,-73.9487,0.0,2.0,3.0,1.0,0.0
19.0,-73.98784,0.0,90.0,0.0,1.0,173.0
6.0,-73.95684,0.0,2.0,14.0,1.0,0.0
20.0,-73.94781,1.0,3.0,15.0,1.0,0.0
49.0,-73.91065,0.0,1.0,5.0,2.0,31.0
67.0,-73.97275,2.0,7.0,1.0,6.0,313.0
3.0,-73.96239,1.0,2.0,114.0,1.0,314.0
26.0,-73.98168,0.0,1.0,19.0,3.0,37.0
12.0,-73.96379,0.0,1.0,5.0,1.0,0.0
70.0,-73.87785,0.0,1.0,35.0,2.0,365.0
53.0,-73.99716,1.0,2.0,119.0,1.0,0.0
7.0,-73.98928,1.0,2.0,4.0,1.0,29.0
6.0,-73.92318,0.0,1.0,113.0,3.0,288.0
15.0,-73.95646,0.0,1.0,4.0,1.0,0.0
19.0,-73.98237,0.0,4.0,2.0,2.0,0.0
27.0,-73.99815,1.0,3.0,10.0,1.0,0.0
50.0,-73.99277,1.0,3.0,5.0,1.0,362.0
43.0,-74.0051,1.0,2.0,52.0,1.0,72.0
14.0,-73.99036,0.0,1.0,63.0,4.0,29.0
28.0,-73.9558,1.0,3.0,8.0,1.0,0.0
22.0,-73.96602,1.0,30.0,4.0,1.0,47.0
155.0,-73.78207,0.0,1.0,0.0,2.0,0.0
12.0,-73.95173,0.0,2.0,7.0,4.0,3.0
54.0,-73.94738,0.0,1.0,71.0,2.0,35.0
7.0,-73.99008,1.0,3.0,15.0,1.0,4.0
19.0,-73.9782,0.0,7.0,25.0,1.0,359.0
21.0,-73.92673,1.0,3.0,10.0,1.0,0.0
19.0,-73.98764,0.0,1.0,0.0,1.0,0.0
56.0,-73.91449,1.0,3.0,50.0,2.0,352.0
14.0,-74.00084,1.0,1.0,6.0,1.0,2.0
12.0,-73.95655,0.0,1.0,1.0,1.0,0.0
4.0,-73.94163,1.0,1.0,5.0,1.0,338.0
49.0,-73.91415,1.0,7.0,15.0,1.0,0.0
28.0,-73.95223,0.0,1.0,1.0,1.0,0.0
19.0,-73.98403,1.0,5.0,0.0,1.0,0.0
7.0,-73.99709,0.0,7.0,9.0,47.0,337.0
159.0,-73.73837,1.0,2.0,22.0,1.0,47.0
1.0,-73.98191,1.0,1.0,0.0,8.0,0.0
6.0,-73.94539,1.0,2.0,37.0,1.0,0.0
19.0,-73.9813,1.0,2.0,6.0,1.0,39.0
19.0,-73.98325,0.0,2.0,4.0,2.0,0.0
12.0,-73.94158,0.0,2.0,61.0,3.0,42.0
6.0,-73.95422,0.0,7.0,0.0,1.0,0.0
19.0,-73.97903,1.0,3.0,3.0,1.0,0.0
6.0,-73.9193,0.0,2.0,28.0,1.0,0.0
25.0,-73.93508,1.0,6.0,0.0,1.0,0.0
19.0,-73.9892,1.0,1.0,0.0,1.0,0.0
7.0,-73.98847,0.0,2.0,3.0,2.0,0.0
79.0,-74.01774,0.0,1.0,67.0,1.0,8.0
30.0,-73.94446,0.0,1.0,1.0,1.0,0.0
12.0,-73.95825,0.0,2.0,14.0,1.0,0.0
6.0,-73.94138,1.0,3.0,3.0,2.0,0.0
19.0,-73.98662,1.0,30.0,52.0,1.0,314.0
68.0,-73.98546,1.0,2.0,29.0,1.0,65.0
19.0,-73.97595,1.0,1.0,114.0,1.0,157.0
79.0,-73.99794,0.0,7.0,2.0,1.0,0.0
7.0,-73.99435,1.0,30.0,3.0,31.0,339.0
117.0,-73.97111,1.0,35.0,0.0,1.0,0.0
12.0,-73.94894,1.0,6.0,7.0,1.0,4.0
73.0,-73.94881,2.0,30.0,0.0,3.0,84.0
6.0,-73.95793,1.0,2.0,3.0,1.0,268.0
8.0,-73.98118,0.0,2.0,81.0,1.0,6.0
16.0,-73.97691,1.0,3.0,0.0,1.0,0.0
73.0,-73.95951,2.0,3.0,1.0,10.0,281.0
50.0,-73.98492,1.0,5.0,7.0,1.0,1.0
12.0,-73.94146,1.0,3.0,0.0,1.0,359.0
46.0,-73.77464,0.0,2.0,0.0,2.0,90.0
43.0,-74.00721,1.0,2.0,4.0,1.0,0.0
6.0,-73.92135,1.0,2.0,11.0,1.0,6.0
8.0,-73.98235,1.0,1.0,0.0,1.0,0.0
23.0,-73.98508,0.0,2.0,1.0,1.0,0.0
28.0,-73.95015,1.0,31.0,6.0,33.0,326.0
12.0,-73.94191,1.0,3.0,32.0,3.0,78.0
21.0,-73.93206,0.0,4.0,1.0,2.0,0.0
8.0,-73.96623,0.0,5.0,55.0,1.0,0.0
12.0,-73.96234,1.0,7.0,3.0,1.0,43.0
13.0,-73.97523,0.0,30.0,0.0,25.0,305.0
2.0,-73.94243,0.0,2.0,3.0,1.0,364.0
19.0,-73.98998,1.0,2.0,1.0,1.0,0.0
3.0,-73.96757,1.0,10.0,0.0,1.0,0.0
11.0,-74.00213,1.0,5.0,1.0,1.0,365.0
28.0,-73.96084,1.0,3.0,2.0,1.0,0.0
28.0,-73.95687,0.0,3.0,7.0,1.0,131.0
27.0,-74.00429,0.0,3.0,51.0,3.0,276.0
12.0,-73.95142,1.0,10.0,0.0,1.0,0.0
6.0,-73.9288,1.0,30.0,1.0,2.0,111.0
2.0,-73.94528,0.0,7.0,0.0,1.0,0.0
12.0,-73.92918,0.0,2.0,18.0,2.0,5.0
20.0,-73.95345,1.0,2.0,37.0,1.0,229.0
12.0,-73.93426,0.0,5.0,0.0,1.0,43.0
8.0,-73.97402,1.0,30.0,1.0,232.0,218.0
19.0,-73.97896,0.0,26.0,58.0,3.0,129.0
63.0,-73.85522,1.0,1.0,143.0,1.0,282.0
83.0,-73.89114,0.0,3.0,1.0,1.0,59.0
52.0,-74.00137,1.0,4.0,11.0,1.0,259.0
19.0,-73.98515,1.0,3.0,107.0,1.0,99.0
10.0,-73.98805,0.0,1.0,49.0,4.0,24.0
28.0,-73.95652,1.0,2.0,12.0,1.0,363.0
32.0,-73.99202,0.0,1.0,4.0,2.0,0.0
56.0,-73.9314,1.0,7.0,12.0,1.0,3.0
15.0,-73.9429,1.0,4.0,13.0,2.0,0.0
8.0,-73.98937,1.0,1.0,3.0,1.0,0.0
14.0,-73.99445,1.0,3.0,63.0,1.0,323.0
95.0,-73.85145,0.0,1.0,0.0,1.0,0.0
52.0,-73.99455,0.0,1.0,0.0,1.0,0.0
7.0,-73.99361,1.0,5.0,46.0,1.0,228.0
12.0,-73.94478,1.0,3.0,25.0,1.0,0.0
21.0,-73.92578,0.0,2.0,12.0,1.0,3.0
19.0,-73.98299,1.0,365.0,4.0,5.0,305.0
126.0,-73.89687,1.0,4.0,24.0,2.0,157.0
2.0,-73.93925,0.0,5.0,17.0,1.0,119.0
14.0,-73.99454,0.0,30.0,0.0,1.0,270.0
21.0,-73.92528,0.0,2.0,0.0,3.0,280.0
6.0,-73.94104,0.0,3.0,1.0,1.0,0.0
24.0,-73.94732,1.0,2.0,15.0,1.0,20.0
15.0,-73.95133,0.0,1.0,0.0,1.0,66.0
19.0,-73.98823,1.0,30.0,0.0,49.0,364.0
160.0,-73.79554,2.0,4.0,1.0,7.0,365.0
8.0,-73.98431,1.0,1.0,0.0,1.0,0.0
13.0,-73.97407,0.0,14.0,18.0,1.0,128.0
5.0,-73.97862,1.0,3.0,0.0,3.0,294.0
84.0,-73.89201,0.0,1.0,17.0,3.0,67.0
77.0,-74.0026,1.0,3.0,0.0,1.0,11.0
63.0,-73.84278,0.0,2.0,3.0,3.0,364.0
43.0,-74.00837,1.0,30.0,0.0,1.0,310.0
7.0,-73.99438,0.0,3.0,49.0,1.0,216.0
7.0,-73.99087,1.0,2.0,1.0,1.0,9.0
7.0,-73.99511,0.0,7.0,3.0,47.0,348.0
39.0,-73.91428,1.0,30.0,3.0,1.0,213.0
93.0,-74.07789,1.0,2.0,103.0,1.0,73.0
12.0,-73.92739,1.0,8.0,6.0,1.0,0.0
44.0,-73.90303,0.0,2.0,7.0,1.0,104.0
2.0,-73.95238,0.0,3.0,76.0,3.0,281.0
38.0,-73.98454,1.0,3.0,12.0,1.0,0.0
55.0,-74.09591,1.0,7.0,35.0,1.0,326.0
49.0,-73.91783,1.0,3.0,68.0,1.0,299.0
25.0,-73.94073,0.0,1.0,63.0,6.0,356.0
116.0,-73.83333,0.0,1.0,0.0,3.0,364.0
1.0,-73.98399,1.0,1.0,2.0,1.0,0.0
13.0,-73.97691,0.0,2.0,206.0,2.0,0.0
56.0,-73.92274,0.0,2.0,0.0,2.0,357.0
7.0,-73.99357,1.0,9.0,2.0,1.0,12.0
21.0,-73.92292,0.0,5.0,26.0,4.0,325.0
1.0,-73.96411,0.0,1.0,3.0,1.0,0.0
1.0,-73.98715,0.0,1.0,12.0,5.0,287.0
10.0,-73.97948,1.0,1.0,183.0,1.0,1.0
2.0,-73.9469,0.0,2.0,13.0,1.0,65.0
57.0,-73.8518,0.0,2.0,33.0,1.0,47.0
21.0,-73.93174,0.0,1.0,1.0,1.0,0.0
14.0,-73.99513,0.0,1.0,0.0,20.0,360.0
21.0,-73.9243,1.0,30.0,0.0,2.0,365.0
8.0,-73.96113,0.0,2.0,113.0,1.0,333.0
8.0,-73.9783,1.0,1.0,2.0,1.0,0.0
12.0,-73.95302,0.0,2.0,1.0,1.0,0.0
20.0,-73.95557,1.0,5.0,0.0,1.0,0.0
7.0,-73.99525,1.0,3.0,2.0,1.0,2.0
4.0,-73.94211,0.0,1.0,4.0,1.0,0.0
