neighbourhood,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
12.0,-73.9553,1.0,3.0,11.0,1.0,1.0
30.0,-73.94048,0.0,2.0,2.0,1.0,0.0
6.0,-73.95947,0.0,2.0,0.0,2.0,0.0
6.0,-73.93118,1.0,3.0,87.0,1.0,267.0
31.0,-73.89564,0.0,5.0,13.0,1.0,0.0
7.0,-73.99283,1.0,30.0,3.0,31.0,270.0
28.0,-73.95639,1.0,7.0,1.0,1.0,43.0
11.0,-74.00476,1.0,1.0,42.0,1.0,4.0
20.0,-73.94803,0.0,1.0,0.0,1.0,0.0
15.0,-73.94366,0.0,1.0,0.0,1.0,0.0
19.0,-73.98098,1.0,30.0,6.0,9.0,150.0
71.0,-73.98573,1.0,30.0,0.0,65.0,338.0
21.0,-73.91968,0.0,1.0,0.0,5.0,329.0
19.0,-73.97882,0.0,1.0,4.0,1.0,0.0
38.0,-73.98983,1.0,30.0,1.0,2.0,63.0
81.0,-73.87496,0.0,1.0,0.0,2.0,170.0
21.0,-73.93034,1.0,3.0,3.0,1.0,0.0
13.0,-73.97009,1.0,3.0,95.0,2.0,112.0
2.0,-73.95295,0.0,1.0,0.0,5.0,281.0
73.0,-73.95702,0.0,2.0,7.0,1.0,124.0
2.0,-73.9581,0.0,30.0,0.0,7.0,364.0
37.0,-73.82875,1.0,2.0,1.0,1.0,0.0
12.0,-73.94297,1.0,14.0,4.0,1.0,0.0
6.0,-73.9358,1.0,2.0,51.0,1.0,89.0
30.0,-73.94522,0.0,4.0,14.0,3.0,0.0
83.0,-73.87739,0.0,2.0,5.0,1.0,57.0
13.0,-73.97225,1.0,2.0,1.0,1.0,0.0
13.0,-73.97381,1.0,2.0,15.0,1.0,41.0
24.0,-73.96005,0.0,10.0,1.0,1.0,0.0
20.0,-73.94141,1.0,30.0,7.0,52.0,327.0
19.0,-73.98758,1.0,2.0,16.0,1.0,52.0
46.0,-73.78263,0.0,1.0,0.0,1.0,180.0
5.0,-73.9755,0.0,15.0,0.0,1.0,0.0
3.0,-73.96161,1.0,2.0,58.0,6.0,199.0
30.0,-73.94179,1.0,1.0,1.0,5.0,364.0
21.0,-73.91993,0.0,2.0,3.0,1.0,0.0
12.0,-73.94462,1.0,30.0,5.0,8.0,161.0
